Number,Player,Minutes,Off reb,Def reb,Tot reb,Assists,Fouls comm,Fouls against,Turnovers,Steals,Blocked shots,Blocked shot attempt,Efficiency,+/-,Pts,Home team,Guest team,Team,Game number,Starter,2m,2a,3m,3a,Fgm,Fga,Ftm,Fta
4,Khalil Ullah Ahmad,12.483333333333333,2.0,2.0,4.0,3.0,5.0,1.0,2.0,3.0,,1.0,13.0,5.0,8.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,4.0,6.0,0.0,1.0,4.0,7.0,,
5,Magnús Már Traustason,8.366666666666667,,,,,1.0,,,,,,-2.0,-5.0,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,1.0,0.0,1.0,0.0,2.0,,
6,Valur Orri Valsson,22.2,2.0,3.0,5.0,2.0,1.0,3.0,2.0,1.0,,,4.0,7.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,2.0,0.0,2.0,0.0,4.0,3.0,4.0
7,Ágúst Orrason,8.25,,,,2.0,2.0,1.0,1.0,,,,3.0,3.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,0.0,1.0,0.0,1.0,3.0,3.0
8,Guðmundur Jónsson,15.75,,1.0,1.0,,3.0,1.0,1.0,,,,-1.0,-7.0,3.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,1.0,1.0,4.0,1.0,5.0,,
9,Dominykas Milka,34.0,8.0,10.0,18.0,,3.0,7.0,4.0,,1.0,4.0,27.0,22.0,23.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,10.0,19.0,,,10.0,19.0,3.0,5.0
10,Davíð Alexander H. Magnússon,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,,,,,,
11,Deane Williams,35.55,1.0,13.0,14.0,3.0,3.0,1.0,2.0,2.0,,,20.0,16.0,12.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,5.0,7.0,0.0,7.0,5.0,14.0,2.0,2.0
13,Hörður Axel Vilhjálmsson,32.61666666666667,,5.0,5.0,9.0,1.0,4.0,1.0,2.0,,1.0,14.0,21.0,12.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,1.0,4.0,3.0,10.0,4.0,14.0,1.0,4.0
14,Elvar Snær Guðjónsson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,,,,,,,,
15,Veigar Áki Hlynsson,2.2666666666666666,1.0,,1.0,,,,,,,,-1.0,-2.0,,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,,0.0,2.0,,,0.0,2.0,,
21,Callum Reese Lawson,28.516666666666666,1.0,2.0,3.0,,1.0,2.0,1.0,1.0,,,16.0,15.0,14.0,Keflavík,Þór Þorlákshöfn,Keflavík,1.0,1.0,4.0,5.0,2.0,2.0,6.0,7.0,,
0,Tristan Rafn Ottósson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,,,,,,
1,Ísak Júlíus Perdue,2.2666666666666666,,1.0,1.0,,,,,,,,3.0,2.0,2.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,1.0,1.0,,,1.0,1.0,,
3,Benjamín Þorri Benjamínsson,0.0,,,,,,,,,,,,,,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,,,,,,
7,Emil Karel Einarsson,20.05,1.0,1.0,2.0,,,,,1.0,,,2.0,-21.0,3.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,,,1.0,5.0,1.0,5.0,,
9,Halldór Garðar Hermannsson,33.28333333333333,1.0,7.0,8.0,6.0,4.0,5.0,5.0,1.0,,,8.0,-14.0,8.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,7.0,0.0,5.0,2.0,12.0,4.0,4.0
13,Davíð Arnar Ágústsson,16.983333333333334,,4.0,4.0,1.0,5.0,,1.0,,,,3.0,4.0,3.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,1.0,5.0,1.0,5.0,,
24,Marko Bakovic,22.166666666666668,1.0,,1.0,2.0,3.0,2.0,1.0,1.0,,1.0,-3.0,-14.0,5.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,6.0,0.0,3.0,2.0,9.0,1.0,5.0
25,Ragnar Örn Bragason,27.95,1.0,3.0,4.0,2.0,1.0,2.0,,,3.0,,16.0,-2.0,9.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,,,3.0,5.0,3.0,5.0,,
33,Jerome Frink,35.43333333333333,4.0,9.0,13.0,3.0,4.0,5.0,4.0,3.0,3.0,,27.0,-19.0,22.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,7.0,13.0,1.0,5.0,8.0,18.0,5.0,8.0
34,Styrmir Snær Þrastarson,21.616666666666667,2.0,1.0,3.0,3.0,1.0,2.0,,,,,6.0,3.0,4.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,,2.0,4.0,0.0,2.0,2.0,6.0,,
77,Sebastian Eneo Mignani,20.25,,1.0,1.0,1.0,4.0,2.0,4.0,2.0,,,4.0,-14.0,7.0,Keflavík,Þór Þorlákshöfn,Þór Þorlákshöfn,1.0,1.0,2.0,3.0,1.0,3.0,3.0,6.0,,
